    93 2.75467 0.14264  0.15452   7.78 -10.12   516 1272 Gefion       
 16537 2.75258 0.14375  0.16316  13.14  -0.92   516 1272 Gefion       
 16621 2.76024 0.12438  0.16013  13.76  -0.52   516 1272 Gefion       
 16679 2.76643 0.13574  0.15798  12.98  -0.55   516 1272 Gefion       
 16766 2.77167 0.13742  0.15695  12.95  -0.39   516 1272 Gefion       
 16899 2.75392 0.13389  0.15689  13.55  -0.73   516 1272 Gefion       
 16938 2.76710 0.12831  0.16013  13.45  -0.43   516 1272 Gefion       
 17005 2.79712 0.12687  0.15937  12.97   0.42   516 1272 Gefion       
 17109 2.76955 0.13126  0.15448  12.59  -0.54   516 1272 Gefion       
 17112 2.77798 0.12204  0.15936  12.86  -0.19   516 1272 Gefion       
 17202 2.81325 0.13587  0.16347  13.09   0.89   516 1272 Gefion       
 17344 2.78621 0.12507  0.15000  13.77   0.05   516 1272 Gefion       
 17480 2.78917 0.13531  0.16027  13.66   0.12   516 1272 Gefion       
 17833 2.78612 0.12662  0.15294  13.17   0.07   516 1272 Gefion       
 17909 2.76153 0.12178  0.14801  14.18  -0.41   516 1272 Gefion       
 17979 2.78389 0.12774  0.15658  13.21   0.00   516 1272 Gefion       
 18009 2.81398 0.13201  0.15796  13.66   0.70   516 1272 Gefion       
 18098 2.76231 0.12618  0.15817  13.06  -0.66   516 1272 Gefion       
 18244 2.72718 0.09289  0.15668  14.75  -0.79   516 1272 Gefion       
 18338 2.77918 0.13386  0.15956  13.41  -0.12   516 1272 Gefion       
