"spkid","pdes","diameter","a","albedo","e","i"
20000459,459,25.784,2.619,0.221,0.2113,10.30
20000460,460,19.689,2.718,0.262,0.1038,4.64
20000461,461,43.603,3.118,0.057,0.1457,1.47
20000462,462,34.274,2.873,0.259,0.0870,3.19
20000463,463,20.908,2.398,0.082,0.2197,13.54
20000464,464,77.056,2.803,0.045,0.2040,10.16
20000465,465,73.34,3.11,0.0433,0.1993,4.66
20000466,466,95.495,3.351,0.092,0.0969,19.02
20000467,467,39.471,2.945,0.037,0.1068,6.45
20000468,468,60.238,3.136,0.057,0.1950,0.44
20000469,469,133.718,3.178,0.035,0.1614,11.45
20000470,470,27.750,2.404,0.148,0.0960,7.23
20000471,471,148.128,2.889,0.164,0.2290,15.02
20000472,472,50.278,2.543,0.189,0.0955,15.82
20000473,473,12.394,2.661,0.138,0.1085,12.94
20000474,474,40.972,2.453,0.041,0.2103,8.80
20000475,475,17.830,2.593,0.057,0.3791,18.95
20000476,476,138.493,2.649,0.035,0.0749,10.93
20000477,477,22.988,2.416,0.246,0.1874,5.29
20000478,478,80.738,3.018,0.174,0.0807,13.18
20000479,479,60.088,2.722,0.071,0.2178,8.68
20000480,480,56.22,2.644,0.2485,0.0444,21.33
20000481,481,101.829,2.74,0.032,0.1574,9.85
20000482,482,45.751,3.005,0.246,0.0952,14.45
20000483,483,66.858,3.425,0.184,0.0504,18.75
20000484,484,30.060,2.668,0.222,0.0569,12.51
20000485,485,63.88,2.751,0.2072,0.1894,13.87
20000486,486,22.781,2.352,0.150,0.1636,11.10
20000487,487,59.046,2.669,0.328,0.0862,10.25
20000488,488,168.117,3.167,0.047,0.1583,11.48
20000489,489,139.39,3.152,0.0427,0.0487,12.99
20000490,490,118.803,3.175,0.059,0.0886,9.29
20000491,491,91.176,3.191,0.037,0.0833,18.87
20000492,492,53.418,3.111,0.069,0.1823,1.61
20000493,493,41.550,3.117,0.081,0.1781,15.17
20000494,494,100.786,2.986,0.065,0.0643,7.08
20000495,495,37.287,2.487,0.062,0.1299,2.28
20000496,496,14.403,2.199,0.193,0.0786,3.79
20000497,497,40.932,2.85,0.119,0.3008,4.82
20000498,498,81.83,2.65,0.0694,0.2240,9.50
20000499,499,77.328,4.015,0.052,0.2174,2.09
20000500,500,40.828,2.614,0.202,0.1448,9.78
