,id,m,c_param,fam_num,par_num,name,pdes,H,diameter,albedo,rot_per,BV,UB,IR,spec_B,spec_T,e,a,q,i
192,34258,14.1,-0.39,516,1272,Gefion,34258,14.47,,,,,,,,,0.0924,2.763,2.508,7.89
193,34342,14.27,-0.05,516,1272,Gefion,34342,14.75,,,,,,,,,0.1243,2.781,2.436,8.1
194,34379,14.12,-0.63,516,1272,Gefion,34379,14.66,,,,,,,,,0.1334,2.751,2.384,8.37
195,34501,13.15,-0.25,516,1272,Gefion,34501,13.6,,,3.00334,,,,,,0.12,2.775,2.442,9.95
196,34615,13.27,0.07,516,1272,Gefion,34615,13.74,5.931,0.24,12.3524,,,,,,0.1247,2.785,2.438,10.59
197,34963,14.44,-0.25,516,1272,Gefion,34963,14.94,,,,,,,,,0.0991,2.769,2.494,9.15
198,34988,14.39,-0.49,516,1272,Gefion,34988,14.78,,,,,,,,,0.0992,2.753,2.48,9.72
199,35516,14.36,0.3,516,1272,Gefion,35516,14.63,,,,,,,,,0.0857,2.804,2.564,8.71
200,35619,13.17,-0.27,516,1272,Gefion,35619,13.55,6.092,0.274,,,,,,,0.1523,2.773,2.351,9.44
201,35643,13.36,0.28,516,1272,Gefion,35643,13.67,5.058,0.397,,,,,,,0.1349,2.794,2.417,9.05
202,35652,13.29,-0.26,516,1272,Gefion,35652,13.72,5.219,0.31,30.58,,,,,,0.0974,2.774,2.504,9.99
203,35985,13.85,0.3,516,1272,Gefion,35985,14.29,,,,,,,,,0.1238,2.798,2.452,9.94
204,35999,14.37,-0.34,516,1272,Gefion,35999,14.86,3.508,0.227,,,,,,,0.1335,2.762,2.393,10.07
205,36001,14.39,-0.36,516,1272,Gefion,36001,14.85,3.767,0.216,165.164,,,,,,0.1356,2.76,2.386,10.4
206,36015,14.27,0.21,516,1272,Gefion,36015,14.77,3.046,0.331,,,,,,,0.1525,2.794,2.368,8.75
207,36048,14.09,0.11,516,1272,Gefion,36048,14.62,,,,,,,,,0.0876,2.79,2.545,7.95
208,36115,13.72,-0.5,516,1272,Gefion,36115,14.12,4.385,0.277,,,,,,,0.1239,2.76,2.418,8.17
209,36124,13.86,-0.35,516,1272,Gefion,36124,14.34,4.418,0.207,,,,,,,0.0843,2.766,2.533,7.84
210,36668,14.42,-0.46,516,1272,Gefion,36668,14.8,,,,,,,,,0.1413,2.755,2.366,9.77
211,36709,14.14,-0.82,516,1272,Gefion,36709,14.59,,,,,,,,,0.1253,2.74,2.396,8.69
212,36989,14.41,-0.93,516,1272,Gefion,36989,14.89,,,7.18225,,,,,,0.1482,2.728,2.323,10.36
213,37032,14.38,-0.89,516,1272,Gefion,37032,14.81,7.473,0.046,,,,,,,0.1425,2.731,2.342,9.56
214,37089,14.13,-0.77,516,1272,Gefion,37089,14.49,3.674,0.3,,,,,,,0.1461,2.741,2.34,7.68
215,37132,13.52,-0.31,516,1272,Gefion,37132,13.96,5.107,0.141,,,,,,,0.0947,2.771,2.509,10.04
216,37169,14.11,-0.69,516,1272,Gefion,37169,14.54,,,,,,,,,0.1266,2.745,2.397,10.44
217,37396,14.75,-0.87,516,1272,Gefion,37396,15.15,5.659,0.055,,,,,,,0.1551,2.721,2.299,8.29
218,37508,14.29,-0.14,516,1272,Gefion,37508,14.68,3.419,0.263,,,,,,,0.1126,2.775,2.463,9.45
219,37611,14.24,-0.7,516,1272,Gefion,37611,14.62,6.294,0.112,,,,,,,0.1233,2.745,2.406,8.02
220,37745,14.55,-0.76,516,1272,Gefion,37745,14.91,3.292,0.215,,,,,,,0.0881,2.734,2.493,8.22
221,37759,13.77,-0.72,516,1272,Gefion,37759,14.2,3.616,0.408,,,,,,,0.0946,2.751,2.491,8.56
222,37957,14.24,-0.63,516,1272,Gefion,37957,14.59,,,3.431,,,,,,0.1264,2.747,2.4,8.29
223,37973,13.9,0.28,516,1272,Gefion,37973,14.43,4.756,0.163,24.6338,,,,,,0.1526,2.795,2.369,10.16
224,37975,14.39,-1.0,516,1272,Gefion,37975,14.7,,,,,,,,,0.1311,2.724,2.367,10.29
225,37984,14.46,0.1,516,1272,Gefion,37984,14.98,3.635,0.212,549.934,,,,,,0.1491,2.788,2.372,9.38
226,38465,13.55,0.04,516,1272,Gefion,38465,13.92,5.108,0.246,13.4,,,,,,0.0859,2.785,2.546,8.79
227,38765,14.28,-0.77,516,1272,Gefion,38765,14.77,,,,,,,,,0.1343,2.74,2.372,9.4
228,38931,13.88,-0.97,516,1272,Gefion,38931,14.3,,,,,,,,,0.145,2.736,2.34,10.0
229,39098,15.03,-0.84,516,1272,Gefion,39098,15.36,2.301,0.277,,,,,,,0.1457,2.716,2.32,9.27
230,39173,14.21,-0.8,516,1272,Gefion,39173,14.65,3.502,0.274,,,,,,,0.1393,2.74,2.358,9.44
231,39447,14.64,-0.64,516,1272,Gefion,39447,15.1,3.184,0.332,134.006,,,,,,0.1393,2.739,2.357,8.93
232,39630,13.83,-1.16,516,1272,Gefion,39630,14.21,,,,,,,,,0.1394,2.73,2.349,8.18
233,40092,14.33,-0.49,516,1272,Gefion,40092,14.84,3.196,0.274,,,,,,,0.0997,2.754,2.48,7.84
234,40459,14.38,-0.31,516,1272,Gefion,40459,14.84,3.559,0.168,38.034,,,,,,0.1131,2.766,2.453,8.32
235,40532,14.72,-0.75,516,1272,Gefion,40532,15.07,5.762,0.07,17.948,,,,,,0.1068,2.732,2.44,8.48
236,40603,14.36,0.08,516,1272,Gefion,40603,14.61,3.985,0.193,,,,,,,0.1148,2.789,2.468,8.38
237,40621,14.18,0.25,516,1272,Gefion,40621,14.58,3.035,0.365,,,,,,,0.1369,2.797,2.414,8.1
238,40704,14.6,-0.4,516,1272,Gefion,40704,14.88,,,,,,,,,0.1273,2.756,2.405,10.52
239,40710,14.07,-0.54,516,1272,Gefion,40710,14.58,3.73,0.291,5.079,,,,,,0.1463,2.756,2.353,9.97
240,40934,13.64,-0.15,516,1272,Gefion,40934,14.02,4.948,0.239,,,,,,,0.1305,2.776,2.414,8.14
241,41108,14.84,-0.31,516,1272,Gefion,41108,15.13,,,,,,,,,0.1428,2.76,2.366,8.99
242,41220,14.44,0.15,516,1272,Gefion,41220,14.79,,,,,,,,,0.1522,2.792,2.367,8.75
243,41314,13.05,-0.38,516,1272,Gefion,41314,13.44,5.414,0.347,,,,,,,0.1457,2.771,2.367,9.25
244,41782,14.33,-0.62,516,1272,Gefion,41782,14.82,3.182,0.332,,,,,,,0.1036,2.748,2.463,9.59
245,41968,14.25,-0.74,516,1272,Gefion,41968,14.7,3.754,0.218,,,,,,,0.1057,2.743,2.453,9.34
246,42000,14.8,-0.9,516,1272,Gefion,42000,15.1,,,,,,,,,0.1165,2.718,2.402,10.02
247,42075,13.96,-0.37,516,1272,Gefion,42075,14.44,3.932,0.239,6.76,,,,,,0.1501,2.766,2.351,10.09
248,42093,14.55,-0.8,516,1272,Gefion,42093,14.98,,,,,,,,,0.1049,2.732,2.446,10.08
249,42262,13.93,-0.34,516,1272,Gefion,42262,14.27,4.226,0.248,6.269,,,,,,0.1182,2.765,2.439,10.05
250,42352,14.43,-0.35,516,1272,Gefion,42352,14.69,,,68.9069,,,,,,0.1427,2.761,2.367,10.47
251,42676,14.74,-0.3,516,1272,Gefion,42676,15.14,,,,,,,,,0.1115,2.761,2.453,10.3
252,42803,12.95,-0.48,516,1272,Gefion,42803,13.33,,,,,,,,,0.1403,2.768,2.38,10.29
253,42922,12.92,0.72,516,1272,Gefion,42922,13.35,6.436,0.355,7.3392,,,,,,0.1431,2.805,2.404,10.31
254,43248,13.9,0.0,516,1272,Gefion,43248,14.23,4.396,0.252,73.152,,,,,,0.1494,2.784,2.368,10.36
255,43298,14.39,0.46,516,1272,Gefion,43298,14.69,,,,,,,,,0.1414,2.81,2.413,8.4
256,43471,14.59,-0.34,516,1272,Gefion,43471,15.02,3.151,0.235,5.85,,,,,,0.0965,2.761,2.495,7.95
257,43668,14.08,-0.18,516,1272,Gefion,43668,14.45,,,,,,,,,0.131,2.773,2.41,9.41
258,43734,14.85,-0.28,516,1272,Gefion,43734,15.24,2.917,0.228,,,,,,,0.1159,2.764,2.443,7.96
